adid,bkid
572,1241
1015,1242
502,1245
357,1246
1080,1247
550,1248
513,1249
452,1250
319,1251
452,1253
1066,1254
1061,1256
525,1258
540,1259
452,1260
537,1261
987,1266
513,1267
569,1271
727,1272
1079,1273
50,244
25,250
127,1396
77,283
810,289
29,291
386,2193
289,332
261,6078
803,6119
259,395
27,406
26,408
138,435
169,456
164,485
164,518
278,548
473,586
57,596
142,604
234,611
89,621
78,622
315,631
1062,645
306,667
455,689
894,721
360,756
425,761
583,771
319,775
578,785
313,786
1070,787
937,788
832,1314
425,793
362,794
1034,798
423,806
313,810
1034,811
1037,812
309,815
432,817
423,820
833,880
436,892
491,907
425,918
425,921
621,937
749,982
827,988
630,1045
621,1056
618,1057
682,1074
1074,1109
543,1121
677,6140
339,1167
901,1183
570,1191
1062,1194
317,1199
958,1208
1015,1218
357,1221
544,1228
302,1236
319,1244
1016,1255
832,1274
301,1276
357,1277
525,1279
544,1283
522,1285
498,1287
554,1290
1065,1296
832,1297
958,1298
317,1302
359,1305
1034,1311
607,1312
796,1316
229,1318
517,1327
138,1330
928,1331
353,1332
622,1333
160,1334
354,1336
455,1338
152,1342
142,1345
414,1347
152,1348
98,1349
903,1351
994,1352
902,1353
1080,1354
1085,1356
958,1363
168,1369
133,1370
102,1372
153,1376
1036,1378
229,1379
292,1380
155,1384
309,1386
528,1387
316,1388
514,1389
161,1392
134,1406
101,1414
566,1415
361,1418
1076,1419
165,1420
106,1423
228,1425
198,1428
291,1431
348,1433
363,1434
340,1436
897,1437
268,1438
751,1439
793,1440
189,1442
1086,1443
143,1444
542,1445
1065,1448
133,1449
992,1450
111,1453
163,1454
85,1457
799,1458
229,1459
85,1460
1087,1464
28,1465
155,1463
92,1468
958,1470
376,1471
338,1473
624,1477
529,1478
347,1479
733,1480
93,1482
269,1487
278,1488
439,1489
690,1496
937,1498
426,1502
892,1507
59,1508
578,1509
473,1510
514,1511
240,1514
167,1516
98,1520
455,1522
180,1523
46,1524
104,1525
54,1530
491,1532
259,1534
99,1536
141,206
28,6038
212,1405
41,57
41,59
28,62
27,300
239,330
220,338
106,377
180,397
